"阿","ā"
"确立","què lì"
"确切","què qiè"
"确认","què rèn"
"确实","què shí"
"群","qún"
"群落","qún luò"
"群体","qún tǐ"
"群众","qún zhòng"
"然","rán"
"然而","rán ér"
"然后","rán hòu"
"燃","rán"
"燃料","rán liào"
"燃烧","rán shāo"
"染","rǎn"
"染色","rǎnsè"
"染色体","rǎn sè tǐ"
"嚷","rǎng"
"让","ràng"
"扰动","rǎo dòng"
"扰乱","rǎo luàn"
"绕","rào"
"惹","rě"
"热","rè"
"热爱","rè ài"
"热带","rè dài"
"热量","rè liàng"
"热烈","rè liè"
"热闹","rè nao"
"热能","rè néng"
"热情","rè qíng"
"热心","rè xīn"
"人","rén"
"人才","rén cái"
"人格","rén gé"
"人工","rén gōng"
"人家","rén jiā"
"人家","rén jia"
"人间","rén jiān"
"人均","rén jūn"
"人口","rén kǒu"
"人类","rén lèi"
"人力","rén lì"
"人们","rén men"
"人民","rén mín"
"人民币","rén mín bì"
"人群","rén qún"
"人身","rén shēn"
"人生","rén shēng"
"人士","rén shì"
"人事","rén shì"
"人体","rén tǐ"
"人为","rén wéi"
"人物","rén wù"
"人心","rén xīn"
"人性","rén xìng"
"人影","rén yǐng"
"人员","rén yuán"
"人造","rén zào"
"仁","rén"
"任","rén"
"忍","rěn"
"忍耐","rěn nài"
"忍受","rěn shòu"
"认","rèn"
"认定","rèn dìng"
"认识","rèn shi"
"认识论","rèn shí lùn"
"认为","rèn wéi"
"认真","rèn zhēn"
"任","rèn"
"任何","rèn hé"
"任命","rèn mìng"
"任务","rèn•wù"
"任意","rèn yì"
"扔","rēng"
"仍","réng"
"仍旧","réng jiù"
"仍然","réng rán"
"日","rì"
"日报","rì bào"
"日常","rì cháng"
"日记","rì jì"
"日期","rì qī"
"日前","rì qián"
"日趋","rì qū"
"日夜","rì yè"
"日益","rì yì"
"日子","rì zi"
"荣誉","róng yù"
"容","róng"
"容量","róng liàng"
"容纳","róng nà"
"容器","róng qì"
"容易","róng•yì"
"溶","róng"
"溶剂","róng jì"
"溶解","róng jiě"
"溶液","róng yè"
"熔","róng"
"熔点","róng diǎn"
"融合","róng hé"
"柔和","róu hé"
"柔软","róu ruǎn"
"揉","róu"
"肉","ròu"
"肉体","ròu tǐ"
"如","rú"
"如此","rú cǐ"
"如果","rú guǒ"
"如何","rú hé"
"如今","rú jīn"
"如同","rú tóng"
"如下","rú xià"
"儒家","rú jiā"
"乳","rǔ"
"入","rù"
"入侵","rù qīn"
"入手","rù shǒu"
"入学","rù xué"
"软","ruǎn"
"若","ruò"
"若干","ruò gān"
"若是","ruò shì"
"弱","ruò"
"弱点","ruò diǎn"
"撒","sā"
"洒","sǎ"
"撒","sǎ"
"鳃","sāi"
"塞","sāi"
"塞","sài"
"赛","sài"
"三","sān"
"三角","sān jiǎo"
"三角形","sān jiǎo xíng"
"伞","sǎn"
"散","sǎn"
"散射","sǎn shè"
"散文","sǎn wén"
"散","sàn"
"散布","sàn bù"
"散步","sàn bù"
"散发","sàn fā"
"嗓子","sǎng zi"
"丧失","sàng shī"
"扫","sǎo"
"扫荡","sǎo dàng"
"嫂子","sǎo zi"
"色","sè"
"色彩","sè cǎi"
"塞","sè"
"森林","sēn lín"
"僧","sēng"
"僧侣","sēng lǚ"
"杀","shā"
"杀害","shā hài"
"沙","shā"
"沙发","shā fā"
"沙漠","shā mò"
"沙滩","shā tān"
"纱","shā"
"砂","shā"
"傻","shǎ"
"色","shǎi"
"晒","shài"
"山","shān"
"山地","shān dì"
"山峰","shān fēng"
"山谷","shān gǔ"
"山林","shān lín"
"山路","shān lù"
"山脉","shān mài"
"山区","shān qū"
"山水","shān shuǐ"
"山头","shān tóu"
"扇","shān"
"闪","shǎn"
"闪电","shǎn diàn"
"闪光","shǎn guāng"
"闪烁","shǎn shuò"
"单","shàn"
"扇","shàn"
"善","shàn"
"善良","shàn liáng"
"善于","shàn yú"
"伤","shāng"
"伤害","shāng hài"
"伤口","shāng kǒu"
"伤心","shāng xīn"
"伤员","shāng yuán"
"商","shāng"
"商标","shāng biāo"
"商店","shāng diàn"
"商量","shāng liang"
"商品","shāng pǐn"
"商人","shāng rén"
"商业","shāng yè"
"上","shǎng"
"赏","shǎng"
"上","shàng"
"上班","shàng bān"
"上边","shàng•biān"
"上层","shàng céng"
"上帝","shàng dì"
"上级","shàng jí"
"上课","shàng kè"
"上空","shàng kōng"
"上来","shàng•lái"
"上面","shàng•miàn"
"上去","shàng•qù"
"上山","shàng shān"
"上升","shàng shēng"
"上市","shàng shì"
"上述","shàng shù"
"上诉","shàng sù"
"上午","shàng wǔ"
"上下","shàng xià"
"上学","shàng xué"
"上衣","shàng yī"
"上游","shàng yóu"
"上涨","shàng zhǎng"
"尚","shàng"
"烧","shāo"
"梢","shāo"
"稍","shāo"
"稍稍","shāo shāo"
"稍微","shāo wēi"
"少","shǎo"
"少量","shǎo liàng"
"少数","shǎo shù"
"少","shào"
"少年","shào nián"
"少女","shào nǚ"
"少爷","shào yé"
"舌","shé"
"舌头","shé tóu"
"折","shé"
"蛇","shé"
"舍","shě"
"舍不得","shě•bù•dé"
"设","shè"
"设备","shè bèi"
"设法","shè fǎ"
"设计","shè jì"
"设立","shè lì"
"设施","shè shī"
"设想","shè xiǎng"
"设置","shè zhì"
"社","shè"
"社会","shè huì"
"社会学","shè huì xué"
"舍","shè"
"射","shè"
"射击","shè jī"
"射线","shè xiàn"
"涉及","shè jí"
"摄","shè"
"摄影","shè yǐng"
"谁","shuí"
"申请","shēn qǐng"
"伸","shēn"
"伸手","shēn shǒu"
"身","shēn"
"身边","shēn biān"
"身材","shēn cái"
"身份","shēn•fèn"
"身后","shēn hòu"
"身躯","shēn qū"
"身体","shēn tǐ"
"身心","shēn xīn"
"身影","shēn yǐng"
"身子","shēn zi"
"参","shēn"
"深","shēn"
"深沉","shēn chén"
"深度","shēn dù"
"深厚","shēn hòu"
"深化","shēn huà"
"深刻","shēn kè"
"深情","shēn qíng"
"深入","shēn rù"
"深夜","shēn yè"
"深远","shēn yuǎn"
"什么","shén me"
"神","shén"
"神话","shén huà"
"神经","shén jīng"
"神秘","shén mì"
"神奇","shén qí"
"神气","shén•qì"
"神情","shén qíng"
"神色","shén sè"
"神圣","shén shèng"
"神态","shén tài"
"神学","shén xué"
"沈","shěn"
"审查","shěn chá"
"审美","shěn měi"
"审判","shěn pàn"
"婶","shěn"
"肾","shèn"
"甚","shèn"
"甚至","shèn zhì"
"渗透","shèn tòu"
"慎重","shèn zhòng"
"升","shēng"
"生","shēng"
"生产","shēng chǎn"
"生产力","shēng chǎn lì"
"生成","shēng chéng"
"生存","shēng cún"
"生动","shēng dòng"
"生活","shēng huó"
"生理","shēng lǐ"
"生命","shēng mìng"
"生命力","shēng mìng lì"
"生气","shēng qì"
"生前","shēng qián"
"生态","shēng tài"
"生物","shēng wù"
"生意","shēng yì"
"生意","shēng yi"
"生育","shēng yù"
"生长","shēng zhǎng"
"生殖","shēng zhí"
"声","shēng"
"声调","shēng diào"
"声明","shēng míng"
"声响","shēng xiǎng"
"声音","shēng yīn"
"牲畜","shēng chù"
"牲口","shēng kou"
"绳","shéng"
"绳子","shéng zi"
"省","shěng"
"圣","shèng"
"圣经","shèng jīng"
"胜","shèng"
"胜利","shèng lì"
"盛","shèng"
"盛行","shèng xíng"
"剩","shèng"
"剩余","shèng yú"
"尸体","shī tǐ"
"失","shī"
"失败","shī bài"
"失掉","shī diào"
"失去","shī qù"
"失调","shī tiáo"
"失望","shī wàng"
"失误","shī wù"
"失业","shī yè"
"师","shī"
"师范","shī fàn"
"师傅","shī fu"
"师长","shī zhǎng"
"诗","shī"
"诗歌","shī gē"
"诗人","shī rén"
"诗意","shī yì"
"施","shī"
"施肥","shī féi"
"施工","shī gōng"
"施行","shī xíng"
"湿","shī"
"湿度","shī dù"
"湿润","shī rùn"
"十","shí"
"石","shí"
"石灰","shí huī"
"石头","shí tou"
"石油","shí yóu"
"时","shí"
"时常","shí cháng"
"时代","shí dài"
"时而","shí ér"
"时候","shí hou"
"时机","shí jī"
"时间","shí jiān"
"时节","shí jié"
"时刻","shí kè"
"时空","shí kōng"
"时髦","shí máo"
"时期","shí qī"
"识","shí"
"识别","shí bié"
"识字","shí zì"
"实","shí"
"实际","shí jì"
"实践","shí jiàn"
"实力","shí lì"
"实例","shí lì"
"实施","shí shī"
"实体","shí tǐ"
"实物","shí wù"
"实现","shí xiàn"
"实行","shí xíng"
"实验","shí yàn"
"实用","shí yòng"
"实在","shí zài"
"实在","shí zai"
"实质","shí zhì"
"拾","shí"
"食","shí"
"食品","shí pǐn"
"食堂","shí táng"
"食物","shí wù"
"食盐","shí yán"
"食用","shí yòng"
"史","shǐ"
"史学","shǐ xué"
"使","shǐ"
"使得","shǐ•dé"
"使劲","shǐ jìn"
"使命","shǐ mìng"
"使用","shǐ yòng"
"始","shǐ"
"始终","shǐ zhōng"
"士","shì"
"士兵","shì bīng"
"氏","shì"
"氏族","shì zú"
"示","shì"
"示范","shì fàn"
"示威","shì wēi"
"世","shì"
"世代","shì dài"
"世纪","shì jì"
"世界","shì jiè"
"世界观","shì jiè guān"
"市","shì"
"市场","shì chǎng"
"市民","shì mín"
"式","shì"
"似的","shì de"
"事","shì"
"事变","shì biàn"
"事故","shì gù"
"事后","shì hòu"
"事迹","shì jì"
"事件","shì jiàn"
"事例","shì lì"
"事情","shì qing"
"事实","shì shí"
"事务","shì wù"
"事物","shì wù"
"事先","shì xiān"
"事业","shì yè"
"势","shì"
"势必","shì bì"
"势力","shì•lì"
"势能","shì néng"
"试","shì"
"试管","shì guǎn"
"试图","shì tú"
"试验","shì yàn"
"试制","shì zhì"
"视","shì"
"视觉","shì jué"
"视线","shì xiàn"
"视野","shì yě"
"是","shì"
"是非","shì fēi"
"是否","shì fǒu"
"适","shì"
"适当","shì dàng"
"适合","shì hé"
"适宜","shì yí"
"适应","shì yìng"
"适用","shì yòng"
"室","shì"
"逝世","shì shì"
"释放","shì fàng"
"收","shōu"
"收购","shōu gòu"
"收回","shōu huí"
"收获","shōu huò"
"收集","shōu jí"
"收入","shōu rù"
"收拾","shōu shi"
"收缩","shōu suō"
"收益","shōu yì"
"收音机","shōu yīn jī"
"熟","shóu"
"手","shǒu"
"手臂","shǒu bì"
"手表","shǒu biǎo"
"手段","shǒu duàn"
"手法","shǒu fǎ"
"手工","shǒu gōng"
"手工业","shǒu gōng yè"
"手脚","shǒu jiǎo"
"手榴弹","shǒu liú dàn"
"手枪","shǒu qiāng"
"手势","shǒu shì"
"手术","shǒu shù"
"手续","shǒu xù"
"手掌","shǒu zhǎng"
"手指","shǒu zhǐ"
"守","shǒu"
"守恒","shǒu héng"
"首","shǒu"
"首都","shǒu dū"
"首领","shǒu lǐng"
"首先","shǒu xiān"
"首要","shǒu yào"
"首长","shǒu zhǎng"
"寿命","shòu mìng"
"受","shòu"
"受精","shòu jīng"
"受伤","shòu shāng"
"狩猎","shòu liè"
"授","shòu"
"兽","shòu"
"瘦","shòu"
"书","shū"
"书包","shū bāo"
"书本","shū běn"
"书籍","shū jí"
"书记","shū•jì"
"书面","shū miàn"
"书写","shū xiě"
"抒情","shū qíng"
"叔叔","shū shu"
"梳","shū"
"舒服","shū fu"
"舒适","shū shì"
"疏","shū"
"输","shū"
"输出","shū chū"
"输入","shū rù"
"输送","shū sòng"
"蔬菜","shū cài"
"熟","shú"
"熟练","shú liàn"
"熟悉","shú•xī"
"属","shǔ"
"属性","shǔ xìng"
"属于","shǔ yú"
"鼠","shǔ"
"数","shǔ"
"术","shù"
"术语","shù yǔ"
"束","shù"
"束缚","shù fù"
"述","shù"
"树","shù"
"树干","shù gàn"
"树立","shù lì"
"树林","shù lín"
"树木","shù mù"
"树种","shù zhǒng"
"竖","shù"
"数","shù"
"数据","shù jù"
"数量","shù liàng"
"数目","shù mù"
"数学","shù xué"
"数值","shù zhí"
"数字","shù zì"
"刷","shuā"
"耍","shuǎ"
"衰变","shuāi biàn"
"衰老","shuāi lǎo"
"摔","shuāi"
"甩","shuǎi"
"率","shuài"
"率领","shuài lǐng"
"拴","shuān"
"双","shuāng"
"双方","shuāng fāng"
"霜","shuāng"
"谁","shuí"
"水","shuǐ"
"水稻","shuǐ dào"
"水分","shuǐ fèn"
"水果","shuǐ guǒ"
"水库","shuǐ kù"
"水利","shuǐ lì"
"水流","shuǐ liú"
"水面","shuǐ miàn"
"水泥","shuǐ ní"
"水平","shuǐ píng"
"水汽","shuǐ qì"
"水手","shuǐ shǒu"
"水位","shuǐ wèi"
"水文","shuǐ wén"
"水银","shuǐ yín"
"水源","shuǐ yuán"
"水蒸气","shuǐ zhēng qì"
"税","shuì"
"税收","shuì shōu"
"睡","shuì"
"睡觉","shuì jiào"
"睡眠","shuì mián"
"顺","shùn"
"顺利","shùn lì"
"顺手","shùn shǒu"
"顺序","shùn xù"
"瞬间","shùn jiān"
"说","shuō"
"说法","shuō•fǎ"
"说服","shuō fú"
"说话","shuō huà"
"说明","shuō míng"
"司","sī"
"司法","sī fǎ"
"司机","sī jī"
"司令","sī lìng"
"丝","sī"
"丝毫","sī háo"
"私","sī"
"私人","sī rén"
"私营","sī yíng"
"私有","sī yǒu"
"私有制","sī yǒu zhì"
"思","sī"
"思潮","sī cháo"
"思考","sī kǎo"
"思路","sī lù"
"思索","sī suǒ"
"思维","sī wéi"
"思想","sī xiǎng"
"思想家","sī xiǎng jiā"
"斯","sī"
"死","sǐ"
"死亡","sǐ wáng"
"死刑","sǐ xíng"
"四","sì"
"四边形","sì biān xíng"
"四处","sì chù"
"四面","sì miàn"
"四肢","sì zhī"
"四周","sì zhōu"
"寺","sì"
"寺院","sì yuàn"
"似","sì"
"似乎","sì hū"
"饲料","sì liào"
"饲养","sì yǎng"
"松","sōng"
"宋","sòng"
"送","sòng"
"搜集","sōu jí"
"艘","sōu"
"苏","sū"
"俗","sú"
"俗称","sú chēng"
"诉讼","sù sòng"
"素","sù"
"素材","sù cái"
"素质","sù zhì"
"速","sù"
"速度","sù dù"
"速率","sù lǜ"
"宿","sù"
"宿舍","sù shè"
"塑料","sù liào"
"塑造","sù zào"
"酸","suān"
"算","suàn"
"虽","suī"
"虽然","suī rán"
"虽说","suī shuō"
"隋","suí"
"随","suí"
"随便","suí biàn"
"随后","suí hòu"
"随即","suí jí"
"随时","suí shí"
"随意","suí yì"
"遂","suí"
"髓","suǐ"
"岁","suì"
"岁月","suì yuè"
"遂","suì"
"碎","suì"
"穗","suì"
"孙","sūn"
"孙子","sūn zǐ"
"损害","sǔn hài"
"损耗","sǔn hào"
"损伤","sǔn shāng"
"损失","sǔn shī"
"缩","suō"
"缩短","suō duǎn"
"缩小","suō xiǎo"
"所","suǒ"
"所属","suǒ shǔ"
"所谓","suǒ wèi"
"所以","suǒ yǐ"
"所有","suǒ yǒu"
"所有制","suǒ yǒu zhì"
"所在","suǒ zài"
"索","suǒ"
"锁","suǒ"
"他","tā"
"他们","tā men"
"他人","tā rén"
"它","tā"
"它们","tā men"
"她","tā"
"她们","tā men"
"塔","tǎ"
"踏","tà"
"胎","tāi"
"胎儿","tāi ér"
"台","tái"
"台风","tái fēng"
"抬","tái"
"抬头","tái tóu"
"太","tài"
"太空","tài kōng"
"太平","tài píng"
"太太","tài tai"
"太阳","tài•yáng"
"太阳能","tài yáng néng"
"太阳系","tài yáng xì"
"态","tài"
"态度","tài•dù"
"摊","tān"
"滩","tān"
"谈","tán"
"谈话","tán huà"
"谈论","tán lùn"
"谈判","tán pàn"
"弹","tán"
"弹簧","tán huáng"
"弹性","tán xìng"
"痰","tán"
"坦克","tǎn kè"
"叹","tàn"
"叹息","tàn xī"
"探","tàn"
"探测","tàn cè"
"探索","tàn suǒ"
"探讨","tàn tǎo"
"碳","tàn"
"汤","tāng"
"唐","táng"
"堂","táng"
"塘","táng"
"糖","táng"
"倘若","tǎng ruò"
"躺","tǎng"
"烫","tàng"
"趟","tàng"
"掏","tāo"
"逃","táo"
"逃避","táo bì"
"逃跑","táo pǎo"
"逃走","táo zǒu"
"桃","táo"
"陶","táo"
"陶冶","táo yě"
"淘汰","táo tài"
"讨","tǎo"
"讨论","tǎo lùn"
"讨厌","tǎo yàn"
"套","tào"
"特","tè"
"特别","tè bié"
"特地","tè dì"
"特点","tè diǎn"
"特定","tè dìng"
"特权","tè quán"
"特色","tè sè"
"特殊","tè shū"
"特务","tè wu"
"特性","tè xìng"
"特意","tè yì"
"特征","tè zhēng"
"疼","téng"
"疼痛","téng tòng"
"藤","téng"
"踢","tī"
"提","tí"
"提倡","tí chàng"
"提高","tí gāo"
"提供","tí gōng"
"提炼","tí liàn"
"提起","tí qǐ"
"提前","tí qián"
"提取","tí qǔ"
"提醒","tí xǐng"
"提议","tí yì"
"题","tí"
"题材","tí cái"
"题目","tí mù"
"体","tǐ"
"体裁","tǐ cái"
"体操","tǐ cāo"
"体会","tǐ huì"
"体积","tǐ jī"
"体力","tǐ lì"
"体温","tǐ wēn"
"体系","tǐ xì"
"体现","tǐ xiàn"
"体验","tǐ yàn"
"体育","tǐ yù"
"体制","tǐ zhì"
"体质","tǐ zhì"
"体重","tǐ zhòng"
"替","tì"
"替代","tì dài"
"天","tiān"
"天才","tiān cái"
"天地","tiān dì"
"天鹅","tiā é"
"天空","tiān kōng"
"天气","tiān qì"
"天然","tiān rán"
"天然气","tiān rán qì"
"天生","tiān shēng"
"天体","tiān tǐ"
"天文","tiān wén"
"天下","tiān xià"
"天真","tiān zhēn"
"天主教","tiān zhǔ jiào"
"添","tiān"
"田","tián"
"田地","tián dì"
"田野","tián yě"
"甜","tián"
"填","tián"
"挑","tiāo"
"挑选","tiāo xuǎn"
"条","tiáo"
"条件","tiáo jiàn"
"条款","tiáo kuǎn"
"条例","tiáo lì"
"条约","tiáo yuē"
"调","tiáo"
"调和","tiáo hé"
"调节","tiáo jié"
"调解","tiáo jiě"
"调整","tiáo zhěng"
"挑","tiǎo"
"挑战","tiǎo zhàn"
"跳","tiào"
"跳动","tiào dòng"
"跳舞","tiào wǔ"
"跳跃","tiào yuè"
"贴","tiē"
"铁","tiě"
"铁路","tiě lù"
"厅","tīng"
"听","tīng"
"听话","tīng huà"
"听见","tīng•jiàn"
"听觉","tīng jué"
"听取","tīng qǔ"
"听众","tīng zhòng"
"停","tíng"
"停顿","tíng dùn"
"停留","tíng liú"
"停止","tíng zhǐ"
"挺","tǐng"
"通","tōng"
"通常","tōng cháng"
"通道","tōng dào"
"通电","tōng diàn"
"通过","tōng guò"
"通红","tōng hóng"
"通信","tōng xìn"
"通讯","tōng xùn"
"通用","tōng yòng"
"通知","tōng zhī"
"同","tóng"
"同伴","tóng bàn"
"同胞","tóng bāo"
"同等","tóng děng"
"同行","tóng háng"
"同化","tóng huà"
"同类","tóng lèi"
"同年","tóng nián"
"同期","tóng qī"
"同情","tóng qíng"
"同时","tóng shí"
"同事","tóng shì"
"同行","tóng xíng"
"同学","tóng xué"
"同样","tóng yàng"
"同意","tóng yì"
"同志","tóng zhì"
"铜","tóng"
"童话","tóng huà"
"童年","tóng nián"
"统","tǒng"
"统计","tǒng jì"
"统一","tǒng yī"
"统治","tǒng zhì"
"桶","tǒng"
"筒","tǒng"
"通","tòng"
"痛","tòng"
"痛苦","tòng kǔ"
"痛快","tòng•kuài"
"偷","tōu"
"偷偷","tōu tōu"
"头","tóu"
"头顶","tóu dǐng"
"头发","tóu fa"
"头脑","tóu nǎo"
"投","tóu"
"投产","tóu chǎn"
"投机","tóu jī"
"投入","tóu rù"
"投降","tóu xiáng"
"投资","tóu zī"
"透","tòu"
"透镜","tòu jìng"
"透露","tòu lù"
"透明","tòu míng"
"凸","tū"
"突","tū"
"突变","tū biàn"
"突出","tū chū"
"突击","tū jī"
"突破","tū pò"
"突然","tū rán"
"图","tú"
"图案","tú’àn"
"图画","tú huà"
"图书","tú shū"
"图书馆","tú shū guǎn"
"图形","tú xíng"
"图纸","tú zhǐ"
"徒","tú"
"途径","tú jìng"
"涂","tú"
"屠杀","tú shā"
"土","tǔ"
"土地","tǔ dì"
"土匪","tǔ fěi"
"土壤","tǔ rǎng"
"吐","tǔ"
"吐","tù"
"兔子","tù zǐ"
"湍流","tuān liú"
"团","tuán"
"团结","tuán jié"
"团体","tuán tǐ"
"团员","tuán yuán"
"推","tuī"
"推测","tuī cè"
"推动","tuī dòng"
"推翻","tuī fān"
"推广","tuī guǎng"
"推荐","tuī jiàn"
"推进","tuī jìn"
"推理","tuī lǐ"
"推论","tuī lùn"
"推销","tuī xiāo"
"推行","tuī xíng"
"腿","tuǐ"
"退","tuì"
"退出","tuì chū"
"退化","tuì huà"
"退休","tuì xiū"
"托","tuō"
"拖","tuō"
"拖拉机","tuō lā jī"
"脱","tuō"
"脱离","tuō lí"
"脱落","tuō luò"
"妥协","tuǒ xié"
"挖","wā"
"挖掘","wā jué"
"娃娃","wá wa"
"瓦","wǎ"
"歪","wāi"
"歪曲","wāi qū"
"外","wài"
"外边","wài•biān"
"外表","wài biǎo"
"外部","wài bù"
"外地","wài dì"
"外国","wài guó"
"外汇","wài huì"
"外交","wài jiāo"
"外界","wài jiè"
"外科","wài kē"
"外来","wài lái"
"外力","wài lì"
"外贸","wài mào"
"外面","wài•miàn"
"外商","wài shāng"
"外行","wài xíng"
"外语","wài yǔ"
"外在","wài zài"
"外资","wài zī"
"弯","wān"
"弯曲","wān qū"
"完","wán"
"完备","wán bèi"
"完毕","wán bì"
"完成","wán chéng"
"完美","wán měi"
"完全","wán quán"
"完善","wán shàn"
"完整","wán zhěng"
"玩","wán"
"玩具","wán jù"
"玩笑","wán xiào"
"顽强","wán qiáng"
"挽","wǎn"
"晚","wǎn"
"晚饭","wǎn fàn"
"晚期","wǎn qī"
"晚上","wǎn shang"
"碗","wǎn"
"万","wàn"
"万物","wàn wù"
"万一","wàn yī"
"汪","wāng"
"亡","wáng"
"王","wáng"
"王朝","wáng cháo"
"王国","wáng guó"
"网","wǎng"
"网络","wǎng luò"
"往","wǎng"
"往来","wǎng lái"
"往往","wǎng wǎng"
"忘","wàng"
"忘记","wàng jì"
"旺","wàng"
"旺盛","wàng shèng"
"望","wàng"
"望远镜","wàng yuǎn jìng"
"危害","wēi hài"
"危机","wēi jī"
"危险","wēi xiǎn"
"威力","wēi lì"
"威胁","wēi xié"
"威信","wēi xìn"
"微","wēi"
"微观","wēi guān"
"微粒","wēi lì"
"微弱","wēi ruò"
"微生物","wēi shēng wù"
"微微","wēi wēi"
"微小","wēi xiǎo"
"微笑","wēi xiào"
"为","wéi"
"为难","wéi nán"
"为人","wèi rén"
"为首","wéi shǒu"
"为止","wéi zhǐ"
"违背","wéi bèi"
"违法","wéi fǎ"
"违反","wéi fǎn"
"围","wéi"
"围剿","wéi jiǎo"
"围绕","wéi rào"
"唯","wéi"
"维","wéi"
"维持","wéi chí"
"维护","wéi hù"
"维生素","wéi shēng sù"
"维新","wéi xīn"
"维修","wéi xiū"
"伟大","wěi dà"
"伪","wěi"
"尾","wěi"
"尾巴","wěi ba"
"纬","wěi"
"纬度","wěi dù"
"委屈","wěi qu"
"委托","wěi tuō"
"委员","wěi yuán"
"委员会","wěi yuán huì"
"卫","wèi"
"卫生","wèi shēng"
"卫星","wèi xīng"
"为","wèi"
"为何","wèi hé"
"为了","wèi le"
"未","wèi"
"未必","wèi bì"
"未曾","wèi céng"
"未来","wèi lái"
"位","wèi"
"位移","wèi yí"
"位置","wèi zhi"
"味","wèi"
"味道","wèi•dào"
"胃","wèi"
"谓","wèi"
"喂","wèi"
"魏","wèi"
"温","wēn"
"温带","wēn dài"
"温度","wēn dù"
"温度计","wēn dù jì"
"温和","wēn hé"
"温暖","wēn nuǎn"
"温柔","wēn róu"
"文","wén"
"文化","wén huà"
"文件","wén jiàn"
"文明","wén míng"
"文人","wén rén"
"文物","wén wù"
"文献","wén xiàn"
"文学","wén xué"
"文艺","wén yì"
"文章","wén zhāng"
"文字","wén zì"
"纹","wén"
"闻","wén"
"蚊子","wén zi"
"吻","wěn"
"稳","wěn"
"稳定","wěn dìng"
"问","wèn"
"问世","wèn shì"
"问题","wèn tí"
"窝","wō"
"我","wǒ"
"我们","wǒ men"
"卧","wò"
"卧室","wò shì"
"握","wò"
"握手","wò shǒu"
"乌龟","wū guī"
"污染","wū rǎn"
"屋","wū"
"屋子","wū zǐ"
"无","wú"
"无比","wú bǐ"
"无从","wú cóng"
"无法","wú fǎ"
"无非","wú fēi"
"无关","wú guān"
"无机","wú jī"
"无可奈何","wú kě nài hé"
"无力","wú lì"
"无论","wú lùn"
"无情","wú qíng"
"无穷","wú qióng"
"无声","wú shēng"
"无数","wú shù"
"无限","wú xiàn"
"无线电","wú xiàn diàn"
"无效","wú xiào"
"无形","wú xíng"
"无疑","wú yí"
"无意","wú yì"
"无知","wú zhī"
"吾","wú"
"吴","wú"
"五","wǔ"
"武","wǔ"
"武力","wǔ lì"
"武器","wǔ qì"
"武装","wǔ zhuāng"
"侮辱","wǔ rǔ"
"舞","wǔ"
"舞蹈","wǔ dǎo"
"舞剧","wǔ jù"
"舞台","wǔ tái"
"勿","wù"
"务","wù"
"物","wù"
"物化","wù huà"
"物价","wù jià"
"物理","wù lǐ"
"物力","wù lì"
"物品","wù pǐn"
"物体","wù tǐ"
"物质","wù zhì"
"物种","wù zhǒng"
"物资","wù zī"
"误","wù"
"误差","wù chā"
"误会","wù huì"
"误解","wù jiě"
"恶","wù"
"雾","wù"
"西","xī"
"西北","xī běi"
"西方","xī fāng"
"西风","xī fēng"
"西瓜","xī•guā"
"西南","xī nán"
"西欧","xī ōu"
"吸","xī"
"吸附","xī fù"
"吸取","xī qǔ"
"吸收","xī shōu"
"吸引","xī yǐn"
"希望","xī wàng"
"牺牲","xī shēng"
"息","xī"
"稀","xī"
"稀少","xī shǎo"
"锡","xī"
"熄灭","xī miè"
"习","xí"
"习惯","xí guàn"
"习俗","xísú"
"习性","xí xìng"
"席","xí"
"袭击","xí jī"
"媳妇","xí fù"
"洗","xǐ"
"洗澡","xǐ zǎo"
"喜","xǐ"
"喜爱","xǐ ài"
"喜欢","xǐ huan"
"喜剧","xǐ jù"
"喜悦","xǐ yuè"
"戏","xì"
"戏剧","xì jù"
"戏曲","xì qǔ"
"系","xì"
"系列","xì liè"
"系数","xì shù"
"系统","xì tǒng"
"细","xì"
"细胞","xì bāo"
"细节","xì jié"
"细菌","xì jūn"
"细小","xì xiǎo"
"细心","xì xīn"
"细致","xì zhì"
"虾","xiā"
"瞎","xiā"
"狭","xiá"
"狭隘","xiá ài"
"狭义","xiá yì"
"狭窄","xiá zhǎi"
"下","xià"
"下班","xià bān"
"下边","xià•biān"
"下层","xià céng"
"下达","xià dá"
"下颌","xià hé"
"下级","xià jí"
"下降","xià jiàng"
"下来","xià•lái"
"下列","xià liè"
"下令","xià lìng"
"下落","xià luò"
"下面","xià•miàn"
"下去","xià•qù"
"下属","xià shǔ"
"下午","xià wǔ"
"下旬","xià xún"
"下游","xià yóu"
"吓","xià"
"夏","xià"
"夏季","xià jì"
"夏天","xià tiān"
"仙","xiān"
"先","xiān"
"先后","xiān hòu"
"先进","xiān jìn"
"先前","xiān qián"
"先生","xiān sheng"
"先天","xiān tiān"
"纤维","xiān wéi"
"掀起","xiān qǐ"
"鲜","xiān"
"鲜花","xiān huā"
"鲜明","xiān míng"
"鲜血","xiān xuè"
"鲜艳","xiān yàn"
"闲","xián"
"弦","xián"
"咸","xián"
"衔","xián"
"嫌","xián"
"显","xiǎn"
"显得","xiǎn•dé"
"显露","xiǎn lù"
"显然","xiǎn rán"
"显示","xiǎn shì"
"显微镜","xiǎn wēi jìng"
"显现","xiǎn xiàn"
"显著","xiǎn zhù"
"险","xiǎn"
"鲜","xiǎn"
"县","xiàn"
"县城","xiàn chéng"
